# Date: Sat Jun 20 00:42:30 2015
# Center: 499502700.0
# Span: 100000.0
# Points: 2001
# Real:	Imag:
0.7165535092353821	-0.4230937361717224
0.7164407968521118	-0.423199862241745
0.7163870930671692	-0.42331328988075256
0.7162373065948486	-0.4234507381916046
0.7161033749580383	-0.4236178994178772
0.7160115242004395	-0.42370763421058655
0.715861439704895	-0.4238787293434143
0.715736448764801	-0.4240029752254486
0.7156507968902588	-0.4240937829017639
0.7155445218086243	-0.4242224097251892
0.7153636813163757	-0.42435741424560547
0.715265154838562	-0.424477756023407
0.7151914834976196	-0.42462626099586487
0.7150316834449768	-0.42475712299346924
0.7148690223693848	-0.42490333318710327
0.714806854724884	-0.4249759614467621
0.7146437764167786	-0.42511916160583496
0.714542806148529	-0.42528682947158813
0.7144274711608887	-0.4254037141799927
0.7142843008041382	-0.4254588484764099
0.7141498923301697	-0.42565321922302246
0.7140805125236511	-0.4257429540157318
0.7139179110527039	-0.4258892238140106
0.7137782573699951	-0.4260481297969818
0.713689386844635	-0.42615190148353577
0.7135609984397888	-0.4262682795524597
0.7134519219398499	-0.4264267086982727
0.7133095860481262	-0.42655032873153687
0.7132593393325806	-0.4266578257083893
0.7130058407783508	-0.42680710554122925
0.7129178643226624	-0.4269561469554901
0.7128695249557495	-0.4270551800727844
0.7126849889755249	-0.42718639969825745
0.712567925453186	-0.427348256111145
0.7124872207641602	-0.427451491355896
0.7123168110847473	-0.42759406566619873
0.7122010588645935	-0.42772942781448364
0.7121064066886902	-0.42783793807029724
0.7119309902191162	-0.42799878120422363
0.711764931678772	-0.4281151294708252
0.7116971015930176	-0.4282182455062866
0.7115543484687805	-0.42838817834854126
0.7114365100860596	-0.42847126722335815
0.7113039493560791	-0.42867311835289
0.7112112641334534	-0.4287499189376831
0.7110368013381958	-0.4289235472679138
0.7109202146530151	-0.42907318472862244
0.7108259201049805	-0.429171085357666
0.7106773853302002	-0.42927587032318115
0.710524320602417	-0.4294619560241699
0.7104544043540955	-0.42957305908203125
0.7102875709533691	-0.42971909046173096
0.7101297378540039	-0.42983752489089966
0.7100461721420288	-0.4299706220626831
0.7099069356918335	-0.43009719252586365
0.7097440958023071	-0.4302313029766083
0.7096563577651978	-0.43035179376602173
0.7094714045524597	-0.43053585290908813
0.7093907594680786	-0.4306260347366333
0.7092275023460388	-0.43078476190567017
0.7091050744056702	-0.43089908361434937
0.7089914083480835	-0.43106359243392944
0.7088775634765625	-0.431200236082077
0.7087116241455078	-0.4313121438026428
0.7085835933685303	-0.43143901228904724
0.7084389925003052	-0.43157511949539185
0.7083306908607483	-0.43170827627182007
0.7081778049468994	-0.43180686235427856
0.7080562114715576	-0.4319489002227783
0.7079678177833557	-0.4321165978908539
0.7077850699424744	-0.43223854899406433
0.7076440453529358	-0.4323630928993225
0.7075189352035522	-0.4325355291366577
0.7073760032653809	-0.432644248008728
0.7072418332099915	-0.4328252077102661
0.7071195244789124	-0.4329436421394348
0.7069755792617798	-0.43305978178977966
0.7068275809288025	-0.43320029973983765
0.7067086696624756	-0.43335074186325073
0.7065755128860474	-0.4334583282470703
0.7064446806907654	-0.43362581729888916
0.7063214778900146	-0.4337598383426666
0.7061527371406555	-0.4338913559913635
0.7060468196868896	-0.43400803208351135
0.705951988697052	-0.43415653705596924
0.705757737159729	-0.43429163098335266
0.7055670619010925	-0.4344276785850525
0.7054765224456787	-0.4345429539680481
0.7053298950195312	-0.4346882402896881
0.7051330804824829	-0.4348642826080322
0.7051024436950684	-0.43496206402778625
0.7048762440681458	-0.4351401925086975
0.7047321200370789	-0.43526309728622437
0.7046377658843994	-0.4354304075241089
0.7045254111289978	-0.43554258346557617
0.7043072581291199	-0.4356434941291809
0.7042240500450134	-0.4358558654785156
0.7040866613388062	-0.4359215497970581
0.7039345502853394	-0.43610483407974243
0.7037994265556335	-0.436244398355484
0.7036179900169373	-0.43636631965637207
0.7034835815429688	-0.4365123510360718
0.7033600807189941	-0.4366481602191925
0.7032168507575989	-0.4367826581001282
0.7030632495880127	-0.43690916895866394
0.7029311656951904	-0.4370633065700531
0.7027818560600281	-0.43716683983802795
0.7026503682136536	-0.43738171458244324
0.7024919390678406	-0.4374912977218628
0.7023427486419678	-0.43762829899787903
0.7021752595901489	-0.437790185213089
0.7020397782325745	-0.43793219327926636
0.7019335627555847	-0.43806615471839905
0.7017727494239807	-0.4382017254829407
0.7016006708145142	-0.4383338689804077
0.7014776468276978	-0.4384971261024475
0.7012896537780762	-0.43860509991645813
0.7011721134185791	-0.43871524930000305
0.7010862827301025	-0.438882052898407
0.7008733153343201	-0.43901994824409485
0.7007169723510742	-0.43924063444137573
0.7006106376647949	-0.4393078088760376
0.7004145383834839	-0.439463347196579
0.7002696990966797	-0.43961161375045776
0.7001516819000244	-0.4397757053375244
0.699960470199585	-0.4398724436759949
0.6998615264892578	-0.44001683592796326
0.69972163438797	-0.4401954710483551
0.6995412111282349	-0.44029998779296875
0.6993881464004517	-0.44045931100845337
0.6992640495300293	-0.4405880272388458
0.6991158723831177	-0.440767765045166
0.6989498138427734	-0.44090914726257324
0.6988190412521362	-0.4410223960876465
0.6986614465713501	-0.441227525472641
0.6984987258911133	-0.4413507878780365
0.6983736753463745	-0.44149816036224365
0.6982018947601318	-0.4416394829750061
0.6980739235877991	-0.44173431396484375
0.6978848576545715	-0.44191980361938477
0.6977915167808533	-0.44206827878952026
0.6975660920143127	-0.4421994686126709
0.697431743144989	-0.4423527717590332
0.6972470283508301	-0.4425294101238251
0.6970999836921692	-0.44263625144958496
